u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,1,2,3,4,5,6,7,8,9,10,11,12
794436,735703,11865.763083331209,44756V1863949,34383,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,34383.0,35607.0,35162.0,38483.0,38396.0,41584.0,31136.0,39999.0,38930.0,39518.0,39801.0,34413.0
794436,735703,11865.763083331209,64557V625518,13254,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,64557V625518,13254,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,13254.0,13899.0,13204.0,14454.0,14290.0,15631.0,11172.0,14120.0,13877.0,13363.0,14288.0,12858.0
794436,735703,11865.763083331209,68539V625646,23705,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,68539V625646,23705,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,23705.0,24050.0,23624.0,25909.0,25615.0,27227.0,20658.0,26171.0,26325.0,27096.0,27292.0,23306.0
794436,735703,11865.763083331209,16477V625646,23542,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
