u,v,diff_hour_00_oct,diff_hour_01_oct,diff_hour_02_oct,diff_hour_03_oct,diff_hour_04_oct,diff_hour_05_oct,diff_hour_06_oct,diff_hour_07_oct,diff_hour_08_oct,diff_hour_09_oct,diff_hour_10_oct,diff_hour_11_oct,diff_hour_12_oct,diff_hour_13_oct,diff_hour_14_oct,diff_hour_15_oct,diff_hour_16_oct,diff_hour_17_oct,diff_hour_18_oct,diff_hour_19_oct,diff_hour_20_oct,diff_hour_21_oct,diff_hour_22_oct,diff_hour_23_oct
1613461,1405705,71.84627993532702,72.11793462614024,72.24660942690863,72.28365864592533,72.21268383787448,71.66760844722907,69.61551527100005,67.94212391316674,68.19840431168318,68.31488084524754,67.51911982554255,66.63469501683538,66.19301696915501,65.90012879266739,65.29762297480143,64.41551579279238,65.12355197325087,66.25455110872365,67.10567050042563,67.99041384202253,68.8680985339568,69.74678681260515,70.56831373985602,71.3368148568628
1613461,735703,133.46248896897586,133.7283016234275,133.85420922417939,133.89046168579787,133.8210132177051,133.28765987847143,131.27969773829034,129.64229329137817,129.8930622834749,130.00703394534972,129.2283860658534,128.36298114550556,127.93080155046347,127.64421204443795,127.0546633409347,126.19152620585056,126.88433580178307,127.99101237520267,128.82382812407235,129.6895447271403,130.54835447946306,131.40814623598996,132.21200591749349,132.96398012875818
1405705,1499351,79.5758193270224,79.69266005425389,79.74800405458438,79.76393920254854,79.7334124033869,79.49897137515231,78.6163506541936,77.89661243577066,78.00684056416483,78.05693799795596,77.71467519378176,77.33427742659589,77.14430837383013,77.01833496458815,76.75919267733397,76.37979173883545,76.68432342935523,77.1707746704188,77.53684752706481,77.91738229764412,78.29488108987391,78.67281153230331,79.02615644724993,79.35669456209155
1499351,1499032,54.41191333489675,55.30866591639846,55.733431118934995,55.855733379559965,55.62144019599426,53.822105304293835,47.04799127093568,41.52400044453969,42.37000132996492,42.754499134311786,40.12763211227489,37.208079249123266,35.75006676914612,34.78322085321386,32.79430379853808,29.882401595561955,32.219682320301274,35.953195595464116,38.762804770222274,41.68340913441852,44.580712364782144,47.481328510427765,50.19325073264303,52.730130764052504
1499351,1543821,65.08954831755595,65.38165013563469,65.52001013646091,65.55984800637133,65.4835310084672,64.89742843788073,62.69087663548394,60.891531089426614,61.16710141041203,61.29234499488984,60.436687984454366,59.485693566489665,59.01077093457529,58.695837411470315,58.04798169333488,57.09947934708859,57.86080857338804,59.07693667604695,59.99211881766198,60.94345574411027,61.88720272468474,62.83202883075823,63.71539111812477,64.54173640522883
1499351,1512898,63.605890228700524,64.00022768310681,64.18701368422222,64.24079480860128,64.1377668614307,63.34652839113898,60.36768345790331,57.93856697072592,58.31058690405624,58.47966574310128,57.324528779013384,56.04068631476105,55.39954076167663,54.97438050548492,54.09977528600209,52.819297118569594,53.84709157407385,55.48886451266337,56.724360403843676,58.00866525454886,59.282723678324395,60.55823892152361,61.75077800946843,62.86634414705892
1499032,1512898,1.112046212392443,2.1168764665832844,2.592834869425525,2.7298771419173447,2.467346669127111,0.451153826309699,-7.13938437393527,-13.329133052372475,-12.381171148182633,-11.95033321757898,-14.893793333477005,-18.16521413127557,-19.79894798506103,-20.882319304542133,-23.110942974928015,-26.373791046015278,-23.754818507545167,-19.571337834398523,-16.423111267242795,-13.15051224026069,-9.904022627084508,-6.653820822191694,-3.615054553650816,-0.7724267660128361
1499032,1543821,21.655978982099853,23.221644727001863,23.96325433143047,24.176785314150283,23.767726205384104,20.626216427040696,8.799098766193879,-0.8453933606733912,0.6316635598084552,1.3029691726094974,-3.2833524033246384,-8.380682483615416,-10.92626779067649,-12.614311474519134,-16.086818123725045,-21.1707906996052,-17.09006604664014,-10.571619416388394,-5.666243137331797,-0.5670772115689857,4.4914066043101855,9.555674532864103,14.290496393148729,18.71970713202651
1512898,1514307,91.1002657549914,91.31642110036967,91.41880750098107,91.44828752471479,91.39181294626572,90.95809704403175,89.32524871025811,87.99373300617569,88.1976550437049,88.29033529621847,87.65714910849623,86.95341323920235,86.60197049158572,86.36891968448803,85.88950645306781,85.18761471684556,85.75099834430715,86.65093314027474,87.32816792506986,88.0321572506416,88.73053001626671,89.42970133476109,90.08338942741233,90.69488493986934
735703,1363127,151.43281669978484,151.74536564512908,151.89341084601315,151.9360373668173,151.85437817905986,151.22724842853236,148.86623799996778,146.94093826568644,147.23579850914086,147.3698091445321,146.45425614336614,145.43669211614392,144.92852489999552,144.5915460302732,143.8983404118683,142.88344290138477,143.69806517352518,144.99932224337022,145.9785671348983,146.99649764619795,148.00630691541264,149.0172708489113,149.96246849639348,150.84665795359481
