u,v,diff_hour_00_jun,diff_hour_01_jun,diff_hour_02_jun,diff_hour_03_jun,diff_hour_04_jun,diff_hour_05_jun,diff_hour_06_jun,diff_hour_07_jun,diff_hour_08_jun,diff_hour_09_jun,diff_hour_10_jun,diff_hour_11_jun,diff_hour_12_jun,diff_hour_13_jun,diff_hour_14_jun,diff_hour_15_jun,diff_hour_16_jun,diff_hour_17_jun,diff_hour_18_jun,diff_hour_19_jun,diff_hour_20_jun,diff_hour_21_jun,diff_hour_22_jun,diff_hour_23_jun
1499351,1512898,63.5815766782272,63.984677187175855,64.17561398831606,64.23059024879242,64.12527279168472,63.316451244275406,60.27140975696783,57.78831290340872,58.168599946368595,58.34143609294797,57.16062941854702,55.848257121755736,55.19286388971389,54.75825562782903,53.86421473680214,52.55528149898225,53.60591583127549,55.28417261294478,56.54712396837353,57.85996892687217,59.16233976006494,60.46619978644636,61.685239743012175,62.825596239215784
1499032,1512898,1.1282552460413244,2.1272434638705913,2.600434666696307,2.7366801817899185,2.4756760489577676,0.4712052575520844,-7.075201906644949,-13.228963674161006,-12.286513176390875,-11.858180117476776,-14.784527093166092,-18.03692800260536,-19.661163403752536,-20.738236052771537,-22.953902608794714,-26.19778063295705,-23.594034679012925,-19.434876567919463,-16.304953643596036,-13.051381355142896,-9.823766681578203,-6.592461398806858,-3.5713623760133113,-0.7452614941174125
1499032,1543821,21.680292532573176,23.237195222932822,23.97465402733664,24.186989873959142,23.780220275130088,20.65629357390427,8.895372467129363,-0.6951392933561884,0.7736505174960939,1.4411988227628,-3.119453042858268,-8.188253290610106,-10.719590918713749,-12.39818659686324,-15.851257574525093,-20.90677508001785,-16.848890303841777,-10.366927516669804,-5.489006701861658,-0.41838088389229355,4.611790522569642,9.647713667941357,14.356034659604987,18.760455039869647
1512898,1514307,91.08405672134252,91.30605410308236,91.41120770371029,91.4414844848422,91.38348356643506,90.93804561278935,89.26106624296779,87.89356362796423,88.10299707191314,88.19818219611628,87.54788286818531,86.82512711053215,86.46418591027722,86.22483643271744,85.73246608693451,85.01160430378732,85.5902145157749,86.51447187379569,87.21001030142311,87.9330263655238,88.6502740707604,89.36834191137626,90.03969724977482,90.66771966797391
735703,1363127,151.56248896897588,151.82830162342754,151.9542092241794,151.9904616857979,151.9210132177051,151.38765987847145,149.37969773829036,147.7422932913782,147.99306228347493,148.10703394534974,147.32838606585344,146.46298114550558,146.03080155046348,145.74421204443797,145.15466334093472,144.2915262058506,144.9843358017831,146.0910123752027,146.92382812407237,147.7895447271403,148.64835447946308,149.50814623598998,150.3120059174935,151.0639801287582
735703,492484,93.2002657549914,93.41642110036967,93.51880750098108,93.5482875247148,93.49181294626572,93.05809704403175,91.42524871025812,90.0937330061757,90.2976550437049,90.39033529621848,89.75714910849624,89.05341323920236,88.70197049158573,88.46891968448804,87.98950645306782,87.28761471684557,87.85099834430716,88.75093314027475,89.42816792506987,90.13215725064161,90.83053001626672,91.5297013347611,92.18338942741234,92.79488493986935
1363127,1451397,134.42812236854564,135.31903291368576,135.74103091620577,135.86253641943253,135.62976957582492,133.8421567355362,127.112173738226,121.62416982275116,122.46465930175668,122.846652234414,120.2368983525858,117.33636537779347,115.88785135045461,114.92730410498446,112.95134416467138,110.05841200862018,112.3804661488335,116.08965686194318,118.88096239386904,121.78254001953631,124.66096831028845,127.5426879338126,130.23694291028053,132.75729603594792
1363127,487219,53.36262184647161,53.73651217361239,53.91361297466997,53.9646054481553,53.866919690838,53.11670840048733,50.29232209341944,47.98915979446606,48.3418898053274,48.50220159345899,47.406960620101586,46.18968776510677,45.58178679625637,45.178671886682004,44.34941656746865,43.135333564273395,44.109834973936685,45.66647894534009,46.83791208660734,48.05562335246114,49.263619487596465,50.472996903370536,51.6037006311997,52.6614225986929
487219,1451397,50.17661659199656,50.94192335536284,51.30442655752757,51.408801776692854,51.20885124218401,49.67326250724749,43.89209678496789,39.1778114542977,39.8998056952795,40.22794388661135,37.98612251927041,35.4945171442029,34.25021984858723,33.42509401805221,31.727712036537373,29.242635889372078,31.237318462276637,34.423574091242976,36.82135130227437,39.31385404956888,41.786471138673996,44.26191553658655,46.57632472948687,48.741349381699514
487219,46132,6.813861868029264,7.097200631565635,7.231409832367081,7.270052566180182,7.196025078213168,6.627505584744304,4.487150336419415,2.7417851567438074,3.009088368099664,3.1305746450431364,2.3005873449207277,1.3781227594949712,0.9174478065380232,0.6119622891262013,-0.016457757465166978,-0.9365050333240745,-0.19801568381360735,0.9816285757655328,1.8693552531321185,2.7921520717869557,3.7075866429441935,4.624067965835481,5.480929384581019,6.282484313071961
