u,v,diff_hour_00_aug,diff_hour_01_aug,diff_hour_02_aug,diff_hour_03_aug,diff_hour_04_aug,diff_hour_05_aug,diff_hour_06_aug,diff_hour_07_aug,diff_hour_08_aug,diff_hour_09_aug,diff_hour_10_aug,diff_hour_11_aug,diff_hour_12_aug,diff_hour_13_aug,diff_hour_14_aug,diff_hour_15_aug,diff_hour_16_aug,diff_hour_17_aug,diff_hour_18_aug,diff_hour_19_aug,diff_hour_20_aug,diff_hour_21_aug,diff_hour_22_aug,diff_hour_23_aug
1613461,735703,133.6083702718158,133.82160459901328,133.92260739961642,133.95168904465103,133.89597763618102,133.46812275965289,131.85733994390324,130.54381769528138,130.74498402960074,130.83641184626953,130.21178222865163,129.51755630353742,129.1708627822399,128.9409613103733,128.46802663613443,127.77561992337462,128.33139025857324,129.21916377351423,129.88724673689322,130.58172269320045,131.2706579890198,131.96038104645348,132.60523551623103,133.208467575817
1405705,1499351,79.62444642796903,79.72376104611581,79.77080344639673,79.78434832216627,79.75840054287886,79.55912566887946,78.80889805606456,78.19712057040506,78.2908144795401,78.33339729826257,78.0424739147145,77.71913581260651,77.55766211775561,77.45058471989992,77.23031377573388,76.90782297801013,77.16667491495195,77.58015846985597,77.89132039800509,78.21477495299752,78.53564892639282,78.85688980245781,79.15723298016243,79.43819037777781
1499351,1499032,54.61452625550776,55.43825338248979,55.82842858481977,55.94077137796713,55.72555744387746,54.07274819482365,47.850272112064694,42.776117672183034,43.55322597736192,43.90641288558933,41.4934601161613,38.81165585750085,37.4723740355023,36.58426150034629,34.75730837520437,32.08253175878981,34.22948017695426,37.65896142645238,40.23977506580678,42.92254519839095,45.583911683610964,48.24832130273821,50.739402953111835,53.069696662745294
1499351,1543821,65.14627993532703,65.41793462614025,65.54660942690865,65.58365864592534,65.51268383787449,64.96760844722908,62.91551527100006,61.24212391316675,61.49840431168319,61.61488084524755,60.81911982554256,59.93469501683539,59.49301696915502,59.20012879266739,58.597622974801446,57.71551579279239,58.42355197325088,59.55455110872366,60.40567050042564,61.29041384202255,62.16809853395681,63.046786812605156,63.868313739856035,64.63681485686281
1499351,1512898,63.68693539694493,64.05206266954335,64.22501267057613,64.27481000796415,64.17941376058398,63.44678554735091,60.68859579435492,58.43941386178326,58.78387676301504,58.940431243612295,57.87085998056795,56.682116958112076,56.088463668219106,55.694796764337895,54.8849771166686,53.69934918386073,54.651010716735044,56.17117084505868,57.31514852207748,58.50431968013783,59.684003405855925,60.86503603844779,61.969238897655956,63.00217050653604
1499032,1512898,1.3308681666523383,2.2568309299619225,2.6954321325810797,2.821718180197088,2.579793296840972,0.7218481480819028,-6.272921065515932,-11.976846446517659,-11.10328852899388,-10.706266366199234,-13.418699089279682,-16.433351394227774,-17.938856137396357,-18.937195405639116,-20.990898032128435,-23.997650469729194,-21.584236822359934,-17.729110736931197,-14.82798334801153,-11.812245291170463,-8.820567362749387,-5.825468606496415,-3.0252101555445017,-0.4056955954246191
1499032,1543821,22.0044732055508,23.444535168678954,24.12664997275228,24.323050671410613,23.946807871743214,21.057322198751983,10.179021812935789,1.3082482708731682,2.666809953331285,3.284260824806868,-0.9341282366400101,-5.622530717205972,-7.963899292543857,-9.51652156145137,-12.710450251859044,-17.38656681885329,-13.633213733196996,-7.637702187088578,-3.1258542289264497,1.564236818463602,6.216909432695747,10.874902135638067,15.22987821235508,19.303760477778116
1512898,1514307,91.1407883391136,91.34233859358793,91.43780699415802,91.46529512439622,91.41263639584236,91.0082256221377,89.48570487848392,88.24415645170436,88.4342999731843,88.52071804647399,87.93031470927352,87.27412856087787,86.94643194485695,86.72912781391452,86.28210736840107,85.62764074949112,86.15295791563774,86.99208630647239,87.62356198418676,88.27998446343608,88.93116988003247,89.58309989322318,90.19261987150608,90.7627981196079
735703,1363127,151.61111606992253,151.85940261528947,151.97700861599176,152.0108708054156,151.94600135719708,151.4478141721986,149.57224514016133,148.0428014260126,148.2770361988502,148.38349324565635,147.65618478678618,146.8478395315162,146.44415529438896,146.17646179974975,145.62578443933464,144.81955744502528,145.4666872873798,146.5003961746399,147.27830099501267,148.08693738249372,148.889122315982,149.69222450614447,150.44308245040602,151.14547594444448
735703,492484,93.2407883391136,93.44233859358793,93.53780699415803,93.56529512439623,93.51263639584236,93.10822562213771,91.58570487848392,90.34415645170436,90.5342999731843,90.620718046474,90.03031470927351,89.37412856087788,89.04643194485696,88.82912781391452,88.38210736840108,87.72764074949113,88.25295791563775,89.0920863064724,89.72356198418677,90.37998446343609,91.03116988003248,91.68309989322319,92.2926198715061,92.8627981196079
