u,v,diff_hour_00_mar,diff_hour_01_mar,diff_hour_02_mar,diff_hour_03_mar,diff_hour_04_mar,diff_hour_05_mar,diff_hour_06_mar,diff_hour_07_mar,diff_hour_08_mar,diff_hour_09_mar,diff_hour_10_mar,diff_hour_11_mar,diff_hour_12_mar,diff_hour_13_mar,diff_hour_14_mar,diff_hour_15_mar,diff_hour_16_mar,diff_hour_17_mar,diff_hour_18_mar,diff_hour_19_mar,diff_hour_20_mar,diff_hour_21_mar,diff_hour_22_mar,diff_hour_23_mar
1792058,1752128,8.500132877495698,8.608210550184829,8.659403750490535,8.674143762357387,8.645906473132857,8.429048522015869,7.6126243551290536,6.946866503087843,7.0488275218524485,7.0951676481092365,6.778574554248111,6.426706619601173,6.250985245792853,6.134459842244015,5.894753226533904,5.543807358422775,5.825499172153572,6.275466570137367,6.614083962534931,6.9660786253207965,7.315265008133351,7.664850667380543,7.991694713706162,8.297442469934666
1281106,1279425,1.6513728990533565,1.6688990081380806,1.6772006081876545,1.6795908803822792,1.6750118605080309,1.6398457062728435,1.5074525981290359,1.3994918653655963,1.4160260846247215,1.42354069969339,1.3722012790672615,1.3151416139893797,1.2866462560745169,1.2677502446882185,1.2288789016000927,1.1719687608253149,1.217648514403282,1.2906162005628166,1.3455271290597186,1.4026073446466159,1.459232163481084,1.5159217298454937,1.5689234670874856,1.6185041843137296
1279425,509782,1.6594774158777972,1.6740825067817338,1.6810005068230454,1.6829924003185661,1.6791765504233591,1.6498714218940362,1.5395438317741965,1.4495765544713302,1.4633550705206013,1.4696172497444915,1.426834399222718,1.379284678324483,1.3555385467287642,1.3397918705735155,1.307399084666744,1.259973967354429,1.2980404286694016,1.358846833802347,1.4046059408830989,1.4521727872055132,1.4993601362342368,1.5466014415379115,1.590769555906238,1.6320868202614414
1602213,1794165,15.143401259724614,15.271926059679258,15.3328044600428,15.35033312280338,15.31675364372556,15.05886851266752,14.08798571961293,13.296273679347706,13.417524620581291,13.472631797751525,13.096142713159917,12.67770516925545,12.468739211213125,12.330168461046938,12.045111945067347,11.627770912718976,11.962755772290734,12.497852137460654,12.90053227977127,13.319120527408517,13.734369198861284,14.15009268553362,14.538772091974895,14.902364018300684
1794165,1753371,11.502878675602414,11.646008566460994,11.713804966865847,11.73332552312195,11.695930194148922,11.408739934561558,10.32752955138713,9.445850233819039,9.580879691101895,9.64224904749602,9.222977112382639,8.756989847579936,8.52427775794189,8.369960331620454,8.052511029734093,7.587744880073408,7.9607962009601385,8.556698971263003,9.005138220654372,9.471293314614032,9.933729335095522,10.396694127071534,10.829541647881136,11.234450838562127
1753371,1753445,5.281178045740105,5.360045536621363,5.3974027368444455,5.408158961720257,5.387553372286139,5.229305678227796,4.6335366915806615,4.147713394145184,4.222117380811246,4.2559331486202545,4.024905755802677,3.7681372629522087,3.6399081523353263,3.5548761010969843,3.3799550572004176,3.1238594237139172,3.329418314814769,3.657772902532674,3.904872080768734,4.161733050909771,4.416544735664878,4.671647784304722,4.910155601893686,5.133268829411783
1753445,981222,6.781178045740104,6.860045536621362,6.897402736844445,6.908158961720256,6.887553372286138,6.729305678227795,6.133536691580661,5.647713394145183,5.722117380811246,5.755933148620254,5.524905755802676,5.268137262952208,5.139908152335325,5.054876101096983,4.879955057200417,4.623859423713917,4.8294183148147685,5.157772902532673,5.404872080768733,5.6617330509097705,5.9165447356648775,6.171647784304721,6.410155601893685,6.633268829411782
981222,981717,10.129805146686747,10.19114652848328,10.22020212865679,10.228568081337976,10.212541511778108,10.089459971954952,9.626084093451626,9.248221528779586,9.306091296186525,9.332392448926864,9.152704476735414,8.952995648962828,8.853261896260808,8.787125856408764,8.651076155600324,8.451890662888601,8.611769800411485,8.867156701969856,9.059344951709015,9.259125706263154,9.457312572183794,9.655726054459226,9.8412321348062,10.014764645098053
981717,1812043,4.540655461617902,4.634128043403097,4.678403243667492,4.691151362038823,4.666729922709499,4.4791771001218335,3.773080523354859,3.1972899486165147,3.2854724513318487,3.3255503983647468,3.0517401550253958,2.7474219412766923,2.595446699064091,2.4946679716705003,2.287354141867162,1.9838333910683472,2.2274587434841715,2.616619736335022,2.9094780216518337,3.213905838115285,3.5159048718991164,3.8182492258426337,4.100925157799924,4.3653556496732255
253056,191570,36.19464128128228,36.23261451763251,36.25060131773992,36.25578024082827,36.245859031100736,36.1696656969245,35.882813962612914,35.64889904162546,35.68472318335357,35.70100484933568,35.58976943797907,35.46614016364366,35.40440022149479,35.36345886349115,35.279237620133536,35.15593231512152,35.25490511454045,35.41300176788611,35.53197544629606,35.65564924673434,35.77833635420902,35.901163747998574,36.016000845356224,36.12342573267975
191570,1567566,59.42705934858005,59.453348512207135,59.465800912281495,59.469386320573435,59.462517790762064,59.40976855940928,59.21117889719357,59.04923779804841,59.074039126937095,59.085311049540095,59.00830191860091,58.922712420984084,58.87996938411179,58.85162536703234,58.793318352400156,58.70795314123799,58.776472771604936,58.88592430084424,58.968290693589594,59.05391101696994,59.13884824522164,59.223882594768256,59.30338520063124,59.377756276470606
191570,366683,8.610850314931154,8.642981514919816,8.658201115010701,8.662583280700847,8.654188410931392,8.589717128166882,8.346996429903234,8.149068419836928,8.179381155145323,8.193157949437882,8.099035678289981,7.994426292313864,7.942184802803282,7.907542115261736,7.836277986266838,7.731942728179745,7.815688943072685,7.949463034365165,8.050133069942818,8.15478013185213,8.258592299715321,8.362523171383407,8.459693022993726,8.550591004575171
366683,131096,6.856864495266782,6.944495040690402,6.9860030409382725,6.997954401911396,6.975059302540155,6.799228531364218,6.13726299064518,5.597459326827981,5.680130423123607,5.717703498466949,5.461006395336307,5.175708069946898,5.0332312803725845,4.938751223441093,4.744394508000464,4.459843804126574,4.68824257201641,5.053081002814082,5.327635645298593,5.613036723233079,5.89616081740542,6.179608649227468,6.444617335437428,6.692520921568647
131096,284642,8.30823739432014,8.413394048828483,8.463203649125926,8.477545282293676,8.450071163048186,8.23907423763706,7.444715588774216,6.796951192193578,6.896156507748328,6.941244198160339,6.633207674403569,6.290849683936278,6.119877536447101,6.006501468129311,5.773273409600556,5.43181256495189,5.705891086419692,6.143697203376899,6.473162774358311,6.815644067879695,7.155392980886504,7.495530379072962,7.813540802524914,8.111025105882376
