,source,target,length,Name_2,ID_2,geometry,unique_id,traffic_id,volume,1,2,3,4,5,6,7,8,9,10,11,12
235,157100,342866,10321.80837,,,"MULTILINESTRING ((11.289034863829196 60.72139997105538, 11.288155418273039 60.81403336060002))",157100_342866,05933V705192,5194.0,5194.0,6404.0,6512.0,6404.0,6586.0,7548.0,8119.0,8398.0,7459.0,7146.0,6373.0,6297.0
238,157100,109296,20537.18237,,,"MULTILINESTRING ((11.289034863829196 60.72139997105538, 11.50872679261953 60.57194187306214))",157100_109296,05933V705192,5194.0,5194.0,6404.0,6512.0,6404.0,6586.0,7548.0,8119.0,8398.0,7459.0,7146.0,6373.0,6297.0
241,327099,1831511,22963.8308,,,"MULTILINESTRING ((6.892206264937868 62.104263958011934, 6.943024033172228 62.30894094082165))",327099_1831511,20858V249551,582.0,582.0,676.0,745.0,804.0,981.0,1204.0,1644.0,1320.0,909.0,795.0,690.0,603.0
243,1831511,1160942,15658.30365,,,"MULTILINESTRING ((6.943024033172228 62.30894094082165, 6.642555059709269 62.29562571294996))",1831511_1160942,47905V249548,1496.0,1496.0,1845.0,1955.0,1558.0,1059.0,,,1673.0,1163.0,134.0,1623.0,1450.0
244,298536,943350,10011.83935,,,"MULTILINESTRING ((6.084103686808975 62.30103778671543, 6.235154726998502 62.357027388709916))",298536_943350,43803V249522,,,,,,,,,,,,,
245,293531,261145,18436.43356,,,"MULTILINESTRING ((10.372998370636275 61.27861725556772, 10.217369621939406 61.42622537227036))",293531_261145,57449V2237119,5601.0,5601.0,6664.0,6633.0,6510.0,7219.0,,,,,,,
246,140682,236552,17620.0302,,,"MULTILINESTRING ((9.441107105810234 61.84653164071303, 9.250414619715615 61.976579002758996))",140682_236552,48332V1060626,2278.0,2278.0,2711.0,3006.0,3135.0,3935.0,4344.0,,,,,,
248,192275,331022,10206.14318,,,"MULTILINESTRING ((11.335493408309086 61.18366362987274, 11.299513548403052 61.27359635562316))",192275_331022,73391V704580,1831.0,1831.0,2265.0,2459.0,2422.0,2687.0,3473.0,4455.0,3825.0,2713.0,2679.0,2115.0,2150.0
252,1277213,192932,10115.4074,,,"MULTILINESTRING ((10.845917144102959 61.71264153030175, 10.694652955829065 61.76826776900936))",1277213_192932,20516V705197,1685.0,1685.0,2080.0,2294.0,2356.0,2628.0,3395.0,4206.0,3709.0,2330.0,2528.0,2029.0,2035.0
255,160015,74306,15884.82599,,,"MULTILINESTRING ((10.640565368238914 62.2056041227834, 10.335892235227217 62.19744462798372))",160015_74306,20176V705149,472.0,472.0,470.0,463.0,517.0,537.0,585.0,535.0,570.0,578.0,604.0,602.0,447.0
259,160015,139395,25811.35032,,,"MULTILINESTRING ((10.640565368238914 62.2056041227834, 10.404522454038792 62.17698526272007), (10.404522454038792 62.17698526272007, 10.160966355161083 62.147455471770954))",160015_139395,20176V705149,472.0,472.0,470.0,463.0,517.0,537.0,585.0,535.0,570.0,578.0,604.0,602.0,447.0
263,1233018,946172,10538.61748,,,"MULTILINESTRING ((7.997447391504449 62.415240744397735, 7.82102664222215 62.462764883135))",1233018_946172,32695V249540,1281.0,1281.0,1551.0,1773.0,1630.0,2026.0,2360.0,3941.0,2912.0,2123.0,1842.0,1401.0,1445.0
264,1841573,1841989,10806.78206,,,"MULTILINESTRING ((7.501046622987909 62.6543098005468, 7.381417301109379 62.73419046879383))",1841573_1841989,38638V249003,1416.0,1416.0,1524.0,1633.0,1707.0,1975.0,2253.0,2776.0,2296.0,1894.0,1716.0,1575.0,1434.0
266,1841573,294485,13417.36843,,,"MULTILINESTRING ((7.501046622987909 62.6543098005468, 7.43590357619575 62.53773084485123))",1841573_294485,60539V248942,1844.0,1844.0,2045.0,2143.0,2168.0,2396.0,2588.0,3136.0,2779.0,2291.0,2169.0,1937.0,1885.0
269,1841989,331917,24321.05997,,,"MULTILINESTRING ((7.381417301109379 62.73419046879383, 7.827255685128192 62.81093070621914))",1841989_331917,12871V249441,506.0,506.0,518.0,553.0,577.0,631.0,638.0,563.0,619.0,600.0,595.0,592.0,502.0
270,1222115,331917,12234.39465,,,"MULTILINESTRING ((7.599078547546958 62.8449945959766, 7.827255685128192 62.81093070621914))",1222115_331917,34755V249562,1513.0,1513.0,1660.0,1704.0,1740.0,1851.0,2033.0,1918.0,1944.0,1859.0,1806.0,1684.0,1472.0
274,82574,171916,18459.46676,,,"MULTILINESTRING ((10.490688151472442 62.382565245962354, 10.356630745385788 62.536118528184566))",82574_171916,41312V705204,1339.0,1339.0,1585.0,1746.0,1819.0,2059.0,2630.0,3401.0,2947.0,2135.0,1857.0,1644.0,1593.0
275,81162,600642,17744.98924,,,"MULTILINESTRING ((10.216270782842399 62.63914271471516, 9.993493363572165 62.76111849130077))",81162_600642,26685V704589,1306.0,1306.0,1545.0,1737.0,1813.0,2219.0,2760.0,3559.0,2967.0,1996.0,1964.0,1618.0,1553.0
277,600642,590166,11907.429,,,"MULTILINESTRING ((9.993493363572165 62.76111849130077, 9.860969680590742 62.849065651484295))",600642_590166,87256V1213675,1542.0,1542.0,1794.0,1994.0,2088.0,2501.0,3018.0,3800.0,3250.0,2271.0,2247.0,1871.0,1828.0
280,578266,590166,13244.94489,,,"MULTILINESTRING ((10.102873298603148 62.892874832462425, 9.860969680590742 62.849065651484295))",578266_590166,41300V72150,3213.0,3213.0,3844.0,4198.0,4182.0,4814.0,6089.0,8016.0,8197.0,,,,
282,628231,203573,18766.84063,,,"MULTILINESTRING ((10.967687216228008 63.57040438584388, 11.174599128810218 63.711405601253354))",628231_203573,32279V578595,6529.0,6529.0,7258.0,7496.0,8395.0,9135.0,10340.0,11147.0,11010.0,9149.0,8690.0,8079.0,7050.0
283,635829,565071,18244.1346,,,"MULTILINESTRING ((11.289057730180852 64.13727888651295, 11.206290382893053 64.29691257405695))",635829_565071,77685V578099,1965.0,1965.0,2118.0,2199.0,2480.0,2685.0,2935.0,2921.0,2872.0,2734.0,2609.0,2451.0,2149.0
