u,v,diff_hour_00_avg,diff_hour_01_avg,diff_hour_02_avg,diff_hour_03_avg,diff_hour_04_avg,diff_hour_05_avg,diff_hour_06_avg,diff_hour_07_avg,diff_hour_08_avg,diff_hour_09_avg,diff_hour_10_avg,diff_hour_11_avg,diff_hour_12_avg,diff_hour_13_avg,diff_hour_14_avg,diff_hour_15_avg,diff_hour_16_avg,diff_hour_17_avg,diff_hour_18_avg,diff_hour_19_avg,diff_hour_20_avg,diff_hour_21_avg,diff_hour_22_avg,diff_hour_23_avg,edge_classification,TimeServed
246612,247212,39.275775034523804,39.35658987085892,39.39486947108751,39.40589128176273,39.38477691234258,39.22262186781366,38.61214253581721,38.114323601408024,38.190564723547325,38.22521544858618,37.98848367569904,37.72537522006214,37.59397995856582,37.50684835050678,37.32760826848931,37.06518928602784,37.27582370530401,37.612285813706315,37.8654862062198,38.12868942253718,38.38979275382944,38.65119464317643,38.89559154268118,39.12421373877997,1,0
616516,616905,2.1116142763303225,2.2155538399300054,2.2647869402240066,2.2789625822671282,2.2518064505129063,2.0432516191458916,1.258086936126366,0.6178198126543006,0.7158769185382788,0.7604427606816317,0.4559714744683427,0.117575960742571,-0.05141734244696228,-0.16348118775181444,-0.3940098474550056,-0.7315185989943127,-0.4606122826360914,-0.02787336610663021,0.29777894595138704,0.6362963356125689,0.9721129695336516,1.3083135922781362,1.622643339532728,1.9166845375272574,0,Y
616905,248951,14.037909663511186,14.096330027126939,14.12400202729218,14.131969601274264,14.116706201693438,13.999485687576147,13.558175327096789,13.198306217885323,13.253420282082407,13.278468998977969,13.107337596890874,12.917138713297932,12.822154186915057,12.759167482294062,12.62959633866698,12.439895869417718,12.592161714677607,12.835387335209388,13.018423763532395,13.208691148822055,13.397440544936947,13.586405766151644,13.763078223624953,13.928347281045767,1,0
248951,249980,3.148084602040306,3.2388795838264453,3.2818864840832647,3.2942694219804185,3.2705475551318828,3.0883673394412585,2.402497487529589,1.8432009136301029,1.9288573550697379,1.9677872359115893,1.7018205151678962,1.4062197502505362,1.2585979654971504,1.1607061287320215,0.9593309763449248,0.6645048303867009,0.9011513315614471,1.2791644834712577,1.5636335991565982,1.859340827127607,2.152688846922839,2.4463722948940156,2.720950739217114,2.9778063992919606,1,0
1514307,1514769,6.748715685943776,6.803241358651807,6.8290685588060365,6.836504961189314,6.82225912158054,6.7128533084044015,6.300963638623668,5.965085803359634,6.016525596610244,6.039904399046102,5.880181757098147,5.7026627990780705,5.614010574454054,5.555222983474459,5.4342899160891776,5.25723614478987,5.3993509336990995,5.626361512862096,5.797195512630236,5.97477840556725,6.150944508607818,6.327312048408204,6.492206342049955,6.646457462309382,1,0
1514769,1481196,1.127823309979204,1.225920837217312,1.2723867374947884,1.2857656221397018,1.2601358303435621,1.0633030503882772,0.32226940341668736,-0.28201080913423143,-0.1894651096699617,-0.14740413921616505,-0.4347622852207445,-0.7541379105872222,-0.9136327611384677,-1.0193979359812209,-1.2369694813217034,-1.5555081859360842,-1.2998284541038523,-0.8914120996275688,-0.5840634304018525,-0.26457277926963646,0.05236891503995697,0.36967301566297156,0.6663355171702328,0.9438498094226809,0,0
1380911,1352939,2.6797830004374643,2.72311143678581,2.743634836908368,2.7495441209450795,2.7382237662559654,2.6512852182856412,2.32398003426345,2.0570771115982796,2.0979533758777835,2.1165311742419917,1.989608717694063,1.8485445456959664,1.7780976886286661,1.7313825493680957,1.6352839511780068,1.494589436484806,1.6075199383858914,1.7879122736136293,1.9236642912865267,2.0647792687096893,2.2047684041615687,2.344917609895804,2.4759496825218394,2.598524233442276,1,0
45147,190652,2.5989150021873244,2.8155571839290503,2.9181741845418405,2.9477206047253968,2.8911188312798277,2.456426091428206,0.8199001713172498,-0.5146144420086005,-0.31023312061108166,-0.21734412879004203,-0.8519564115296839,-1.5572772715201681,-1.9095115568566658,-2.1430872531595195,-2.623580244109965,-3.327052817575968,-2.7624003080705415,-1.860438631931852,-1.1816785435673667,-0.47610365645155434,0.22384202080784546,0.9245880494790191,1.5797484126091987,2.1926211672113793,0,0
359812,360325,22.955104121052063,23.259620266399153,23.403860567260494,23.4453915466421,23.365831076327037,22.75481914649065,20.454488892492,18.578671160727236,18.86595322035453,18.996519657172644,18.10449722379367,17.11308554306547,16.617978699294728,16.2896605014578,15.614270915301608,14.625457219339843,15.419142937757023,16.686956484778932,17.641033867412606,18.632802613234944,19.616658840483836,20.601640056065452,21.522545240645062,22.38401020245105,1,0
360325,974920,81.27838829193921,83.48473069116058,84.52980989740138,84.83071860812471,84.25427088395544,79.8272428007924,63.16042152002197,49.56936482880229,51.650839319978815,52.596845861401185,46.13378324257857,38.9506054055519,35.36335645915862,32.98455858130574,28.091088390322785,20.926734001675754,26.677307424324272,35.86312835974122,42.77580413607347,49.96156905384618,57.09000458045204,64.22659110166047,70.8989209122357,77.14058231416173,1,0
