,Name,Latitude,Longitude
238,Rema 1000 Juvikflaten,60.42794,5.19317
239,Maurset,60.41032,7.32484
240,Arnatveit Borettslag,60.40615,5.47972
241,Ågotnes Torg,60.40359,5.00081
242,Øystese,60.38692,6.20142
243,Shell Lone,60.37425,5.45709
244,Esso Loddefjord,60.36144,5.23441
245,Sartor storsenter,60.35837,5.12625
246,Extra Hammerås,60.33084,11.21368
247,"McDonalds Lagunen, Rådal",60.29556,5.32697
248,"Bergen lufthavn, P3",60.28959,5.22652
249,Eggedal,60.24675,9.356
250,"Sanngrund, Skarnes",60.19908,11.58132
251,Oslo lufthavn P10,60.19265,11.10098
252,Kuben kjøpesenter,60.16526,10.25376
253,Aka Arena,60.15888,10.26491
254,Extra Neskollen,60.12603,11.33999
255,YX 7-Eleven Hakadal,60.10056,10.86631
256,Rema 1000 Sørfjordsenteret,60.07064,6.54164
257,Gjermundshamn,60.06083,5.91401
258,Prestfoss,60.04375,9.63268
259,Vikersund Næringspark,59.98711,9.97561
260,Trondheimsveien,59.98576,10.95148
261,Hvam,59.97994,10.98897
262,Meny Åråsen,59.96329,11.06117
263,Obs Haugenstua,59.95493,10.90121
264,Strømmen Storsenter,59.94645,11.00647
265,Circle K Lørenskog,59.941336,10.945095
266,Colosseum P-hus,59.92926,10.71083
267,Kiwi Mølla,59.92874,10.75789
268,Rema 1000 Fitjar,59.91991,5.32625
269,Birger N. Haug Rud,59.90778,10.49272
270,Bryn senter,59.90364,10.82152
271,Rema Ryensvingen,59.892336,10.805119
272,Haraløkka parkeringsplass,59.88061,10.85663
273,Circle K Abildsø,59.87918,10.819441
274,Tangen senter,59.85642,10.66013
275,Senter Syd Mortensrud,59.84891,10.82835
276,Åkrafjordtunet,59.80374,6.21347
277,Håndverkshuset Oppegård AS,59.79429,10.82207
278,Extra Ankertunet,59.78501,10.48542
279,Kiwi Lerberg,59.77866,9.91707
280,Buskerud Bilsenter,59.76819,10.25949
281,BEE - Langhus næringseiendom,59.75465,10.82978
282,Obs Bygg Mjøndalen,59.74864,10.02674
283,Røykenbadet,59.74188,10.39151
284,Extra Nesset,59.73047,10.73524
285,Circle K Rundtom,59.729633,10.224058
286,Kjeppestadveien,59.71312,10.85515
287,Sauda,59.65109,6.35235
288,Klokkarstua,59.62009,10.46941
289,Eventyrfabrikken Vestby,59.61922,10.74038
290,Shell Notodden,59.567415,9.213688
291,O. H. Holtas gate 32,59.56612,9.26118
292,Ramberghjørnet,59.56495,9.26736
293,Extra Sveio,59.54355,5.35502
294,Tofte Bensin og Service AS,59.54175,10.55708
295,Hof Skole,59.53807,10.07634
296,Knapphus bensinstasjon,59.53021,5.68768
297,YX 7-eleven Sonsveien,59.51562,10.72793
298,Burger King Horten,59.40789,10.48563
299,Extra Avaldsnes,59.35582,5.27871
300,Shell Kjelleveien,59.27928,10.40098
301,Hovedkontor Europris,59.25669,11.00245
302,Grønn Kontakt Østfoldhallene,59.25058,10.99272
303,Dahles Auto Råbekken,59.24127,10.97708
304,Produksjonsveien,59.23934,10.98591
305,Torvbyen senter,59.21492,10.94055
306,Extra Gråtenmoen,59.18636,9.61225
307,Extra Finnøy,59.17178,5.87645
308,Glenneveien,59.12671,11.36815
309,COOP extra Halden,59.12268,11.39227
310,"Vassbotn Grillene Nord, Larvik",59.07367,9.91353
311,"Rådhuset Skjærhalden, Hvaler",59.02824,11.03127
312,Hundvåg Rema 1000,58.99329,5.72939
313,YX Tananger,58.93551,5.58579
314,Møller Bil Forus,58.88732,5.7123
315,Kiwi Lundehagen,58.83008,5.72654
316,YX Brokelandsheia,58.82104,9.07732
317,Ljosland Skisenter,58.78306,7.33252
318,"Infogo/Hatteland Elektriske, Kleppe",58.78008,5.62276
319,Circle K Ålgård,58.77161,5.847608
320,Extra Ålgård,58.76967,5.85686
321,Rådhuset i Time,58.73631,5.65156
322,Risør Kommunehus,58.71835,9.21214
323,Frolandssenteret,58.50803,8.62977
324,"Kiwi Stoa Øst, Arendal",58.46816,8.72101
325,OBS Arendal,58.46437,8.70981
326,YX Soknadal,58.34341,6.28138
327,"Vinkelbygget, Dahlske VGS",58.33808,8.58142
328,Tollbukaia Flekkefjord Sentrum,58.294173,6.660833
329,Langbrygga,58.24647,8.37919
330,Obs Bygg Sørlandsparken,58.18854,8.15498
331,McDonalds Sørlandsparken,58.17845,8.13453
332,Obs Sørlandssenteret,58.17774,8.12642
333,TP Torvet Kristiansand,58.14715,7.99687
334,Slettheiveien 45,58.13668,7.93725
335,Stamsøyveien 2,58.13405,7.03889
336,Vågsbygd Videregående skole,58.12563,7.95485
337,Amfi Vågsbygd,58.12415,7.95395
338,Bryggegata 10,58.02582,7.45172
339,Syrstadeng bil AS,63.093577,9.598497
340,IONITY Elverum,60.88007,11.55093
341,IONITY Røldal,59.832465,6.813151
342,IONITY Høydalsmo,59.49497,8.2027
343,IONITY Lura,58.873054,5.7206
344,Extra Porsgrunn,59.1393306278071,9.65446226091285
345,Burger King Grelland Nordgående,59.5146420105174,10.2035013726705
346,Burger King Grelland Sørgående,59.5136567965356,10.2029024422529
347,Coop Extra Tangvall,58.0984247090946,7.81604208204431
348,IONITY Vik,60.083312,10.287055
349,Borgundvegen,62.4665622156925,6.35159822911726
350,Circle K Økern,59.9273890044086,10.8105093663315
351,Finnmarkseiendommen (FEFO) hovedkontor,70.05104,24.96965
352,Extra ABC Namsos,64.46801,11.50828
353,Krokstadøra,63.40045,9.50253
354,Rindal,63.05529,9.21239
355,Circle K Brattvåg,62.58501,6.45163
356,Extra Digernes,62.49271,6.60697
