source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
444183,1114288,23315.4313,23.3154313,"LINESTRING (9.687029077713676 62.59120709884341, 9.983459875847695 62.75072302790106)",62393V72804,0.006082324,4277
452992,579231,4312.877701,4.312877701,"LINESTRING (10.73360769532136 63.42153308734326, 10.810739758000278 63.40385023246349)",41111V72156,0.023110556,16733
473308,1502547,11385.03285,11.38503285,"LINESTRING (10.72737393651022 59.51618619661811, 10.701629320740722 59.414637021538624)",15322V971307,-4.83E-05,34673
474029,474067,2291.981985,2.291981985,"LINESTRING (13.56962913337724 66.05731950700097, 13.615049059973806 66.04810056269855)",72557V885913,-0.035954471,1497
475173,475424,5016.267585,5.016267585,"LINESTRING (13.977641648812755 66.25131123016584, 14.04815262605552 66.28638091150859)",55875V885917,-0.001694886,3148
475424,1494993,4107.036986,4.107036986,"LINESTRING (14.04815262605552 66.28638091150859, 14.128204494506445 66.30450592198204)",92079V1206412,-0.000989765,7141
475528,1357826,6712.541256,6.712541256,"LINESTRING (10.7462533090541 59.6626154221873, 10.740413964109557 59.602320311322735)",65271V443150,0.002411754,34371
476941,477134,9928.319974,9.928319974,"LINESTRING (15.315471744799822 66.97988516106591, 15.383599620259199 67.06511994335968)",62685V885925,0.001293673,1423
477134,1854802,9454.414452,9.454414452,"LINESTRING (15.383599620259199 67.06511994335968, 15.452635997195879 67.14579224357686)",98609V885926,0.000210589,1043
480059,480347,11095.49869,11.09549869,"LINESTRING (16.244583558475842 68.23208902276973, 16.472277930672465 68.28541268137887)",96529V885935,0.000839349,200
490719,368717,6658.80874,6.65880874,"LINESTRING (14.175436484606946 66.32369567563332, 14.315935445925003 66.34383117987619)",31475V885919,-0.010271657,3052
518394,1277008,2930.92063,2.93092063,"LINESTRING (9.710202487900066 59.1217787361298, 9.685113073397428 59.09878186899866)",14213V521376,-0.00143402,18557
518781,519032,5367.207387,5.367207387,"LINESTRING (9.259411614363295 59.55716650070255, 9.174190244358895 59.578766094791106)",35551V521381,0.000821656,7199
518987,1356899,4691.257809,4.691257809,"LINESTRING (10.83924359861153 59.83938729620402, 10.841024437405254 59.797207301875765)",68234V443152,-0.001324591,45223
519215,1854804,11974.37297,11.97437297,"LINESTRING (8.996353110130045 59.611128284053976, 8.78347443921047 59.61110597330354)",12510V521383,-0.001634491,2034
