source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
331992,232649,6506.36307064572,6.50636307064572,"LINESTRING (10.434165960787608 61.04596637231013, 10.441589615197381 61.10436923438541)",59018V1060615,-0.0006229286555319391,11850
332126,331992,10906.970205797774,10.906970205797775,"LINESTRING (10.581434685275983 60.97867751302972, 10.434165960787608 61.04596637231013)",04474V1060615,0.004194657098786273,10013
338653,341391,18753.895626325397,18.753895626325395,"LINESTRING (8.42694243757241 61.16076303564081, 8.079245577100332 61.17904497770818)",48559V2741763,-0.026007076594547825,489
343936,944789,12857.576972558021,12.857576972558022,"LINESTRING (7.074672736698842 62.630530750060025, 7.17468690473213 62.73666275967553)",,0.0010373649738568433,0
343979,120302,14977.369345304764,14.977369345304764,"LINESTRING (9.457926093013816 60.89742999806718, 9.247136023175235 60.984954725615886)",96154V1060634,0.0096506266666457,3774
344396,918793,5918.223597012582,5.918223597012582,"LINESTRING (10.418551548396097 59.73565787626339, 10.314269949976332 59.72729955011307)",39256V181280,0.01426745688395803,10548
345153,345690,2729.239053079449,2.729239053079449,"LINESTRING (7.21736922097683 62.740711075632426, 7.267909332350908 62.74888080700154)",40330V249527,-0.005025576628959633,12694
345690,1854797,15082.04866514459,15.08204866514459,"LINESTRING (7.267909332350908 62.74888080700154, 7.546122095000506 62.79572554987923)",99015V249528,0.0,4683
345756,960480,12194.520307481462,12.194520307481461,"LINESTRING (8.353433005144517 63.0879621626898, 8.561587407635585 63.14424476398649)",50903V249536,0.002331375017888806,933
348200,925506,7179.3710225856785,7.179371022585679,"LINESTRING (15.245159865920316 66.49590038052875, 15.320290048572064 66.55311052205113)",,-0.016796178888184885,0
351102,229327,3338.7443064998647,3.3387443064998648,"LINESTRING (11.228469072125108 60.72375907760355, 11.271937586492612 60.702559900949026)",,0.008365420480276343,0
352537,677129,7335.5174565551515,7.335517456555151,"LINESTRING (5.702037406940451 59.105578669215504, 5.588557581074579 59.136563221892985)",50233V320584,-0.00024483617013208264,4072
353427,1571858,2566.680184096707,2.566680184096707,"LINESTRING (14.516116206503987 66.40752856868016, 14.54151834366411 66.38680744739848)",,0.004120108171451697,0
354561,373466,1499.0667250084705,1.4990667250084704,"LINESTRING (5.404558946717095 59.41838829178365, 5.379284810406431 59.422441091807244)",,0.019302009388432326,0
354996,355108,4036.1001454235748,4.036100145423575,"LINESTRING (14.863392350220314 66.47502823576255, 14.917662144220174 66.50416289039586)",,-0.011021530288449165,0
355108,355216,1180.8408186095492,1.1808408186095491,"LINESTRING (14.917662144220174 66.50416289039586, 14.944298642996143 66.5041317084843)",,0.005724734353238189,0
