,Name,Latitude,Longitude,geometry
147,Rugtvedt Supercharger,59.035933,9.67402,POINT (9.67402 59.035933)
148,Berkåk Supercharger,62.83203,10.00964,POINT (10.00964 62.83203)
149,Skibotn Supercharger,69.392448,20.268423,POINT (20.268423 69.392448)
150,Sørkjosen Supercharger,69.792427,20.939286,POINT (20.939286 69.792427)
151,Ørskog Supercharger,62.5203,6.916356,POINT (6.916356 62.5203)
152,Nes I Ådal – Valdresporten Supercharger,60.584991,9.984288,POINT (9.984288 60.584991)
153,Hokksund Supercharger,59.761249,9.905515,POINT (9.905515 59.761249)
154,Hovden Supercharger,59.561444,7.356644,POINT (7.356644 59.561444)
155,Åsane Supercharger,60.484345,5.375959,POINT (5.375959 60.484345)
156,Rygge Supercharger,59.38753,10.751039,POINT (10.751039 59.38753)
157,Gulsvik Supercharger,60.381223,9.609859,POINT (9.609859 60.381223)
158,Voss Supercharger,60.658184,6.436238,POINT (6.436238 60.658184)
159,"Eidsvoll Verk, Norway - Nebbenes Supercharger",60.312153,11.144888,POINT (11.144888 60.312153)
160,Skarnes Supercharger,60.248841,11.743848,POINT (11.743848 60.248841)
161,Lærdal Supercharger,61.064746,7.510429,POINT (7.510429 61.064746)
162,"Skjåk, Norway - Bismo Supercharger",61.88317,8.267157,POINT (8.267157 61.88317)
163,Vinstra Supercharger,61.591747,9.722741,POINT (9.722741 61.591747)
164,Norheimsund Supercharger,60.372334,6.141234,POINT (6.141234 60.372334)
165,Porsgrunn Supercharger,59.122085,9.707432,POINT (9.707432 59.122085)
166,Gol West,60.697258,8.953551,POINT (8.953551 60.697258)
167,Vikeså Supercharger,58.631861,6.077764,POINT (6.077764 58.631861)
168,Os Supercharger,60.193018,5.465142,POINT (5.465142 60.193018)
169,Røldal Supercharger,59.816851,6.752166,POINT (6.752166 59.816851)
170,Øyer Supercharger,61.243354,10.434287,POINT (10.434287 61.243354)
171,Lavik Supercharger,61.103661,5.513039,POINT (5.513039 61.103661)
172,Holmestrand Supercharger,59.490326,10.294542,POINT (10.294542 59.490326)
173,Mosjøen North Supercharger,65.841627,13.187939,POINT (13.187939 65.841627)
174,Brumunddal Supercharger,60.878539,10.929584,POINT (10.929584 60.878539)
175,Eidfjord Supercharger,60.467438,7.068209,POINT (7.068209 60.467438)
176,Ringdalskogen Supercharger,59.112402,10.108727,POINT (10.108727 59.112402)
177,"Jaren, Spydeberg Supercharger",59.617769,11.00302,POINT (11.00302 59.617769)
178,Åndalsnes Supercharger,62.557776,7.685321,POINT (7.685321 62.557776)
179,Skei Supercharger,61.575358,6.483264,POINT (6.483264 61.575358)
180,Bygland Supercharger,58.827659,7.796338,POINT (7.796338 58.827659)
181,Dombås,62.07417889953439,9.127585247680145,POINT (9.127585247680145 62.07417889953439)
182,Vitaminveien,59.94609513678833,10.77700621923782,POINT (10.77700621923782 59.94609513678833)
183,Svolvær,68.233132,14.559828,POINT (14.559828 68.233132)
184,Hvervenmoen ladepark - Hvervenmoveien 2,60.14595386718787,10.250290744350425,POINT (10.250290744350425 60.14595386718787)
185,Hvervenmoveien 2,60.14316150743727,10.32556915173268,POINT (10.32556915173268 60.14316150743727)
186,Bamble Supercharger,58.971301,9.513025,POINT (9.513025 58.971301)
187,Tesla Supercharger Liertoppen,59.8090147632474,10.2991707709778,POINT (10.2991707709778 59.8090147632474)
188,Hammerfest lufthavn,70.67823,23.6684,POINT (23.6684 70.67823)
189,Grieg Seafood avd. settefisk,70.41265,26.69634,POINT (26.69634 70.41265)
190,ABC Thai AS,70.37006,31.11,POINT (31.11 70.37006)
191,Lakselv Lufthavn,70.06689,24.98284,POINT (24.98284 70.06689)
192,Alta lufthavn,69.97774,23.34683,POINT (23.34683 69.97774)
193,Tromsø taxi,69.6927,19.0139,POINT (19.0139 69.6927)
194,Stakkevollvegen,69.66038,18.96813,POINT (18.96813 69.66038)
195,Kåfjord Helsetun,69.49942,20.82322,POINT (20.82322 69.49942)
196,Sortland Storsenter,68.69395,15.41677,POINT (15.41677 68.69395)
197,Svebjørn Auto Narvik,68.4115,17.42844,POINT (17.42844 68.4115)
198,Storgata 46,68.23347,14.56573,POINT (14.56573 68.23347)
199,Extra Tverlandet,67.30556,14.73832,POINT (14.73832 67.30556)
200,Esso Rønvik,67.29327,14.40789,POINT (14.40789 67.29327)
201,Haaland AS,66.3173,14.14577,POINT (14.14577 66.3173)
