x,y,osmid,roadclass,isBridge,isTunnel,elevation,OD,CS,merged_nodes,geometry
6.033188049598976,61.890364001011406,1664490,0,0,1,708.854,0,0,"[1664490, 982851, 1664643, 1650228, 982890, 1684986, 1662053]",POINT (6.033188049598976 61.890364001011406)
6.379631496101304,61.92975287452652,1652566,0,0,0,71.369,0,0,"[1652566, 1650228, 1659734, 1652776, 1684986]",POINT (6.379631496101304 61.92975287452652)
6.621908441954581,61.997829496942536,1660051,3,0,0,296.758,0,0,"[1660051, 1659734, 1830729]",POINT (6.621908441954581 61.997829496942536)
6.892206264937868,62.104263958011934,327099,3,0,1,165.14,0,0,"[327099, 1830729, 654567, 936764]",POINT (6.892206264937868 62.104263958011934)
6.943024033172228,62.30894094082165,1831511,3,0,0,24.764,1,0,"[1831511, 1843368, 1842995, 1234794, 304708, 1843350]",POINT (6.943024033172228 62.30894094082165)
6.0409800959789335,62.02325969268978,942680,2,0,0,48.238,0,0,"[942680, 982890, 640136, 1218958]",POINT (6.0409800959789335 62.02325969268978)
6.044969093315646,62.171823982538676,1842852,0,0,0,73.712,0,1,"[1842852, 640136, 1587372, 295401, 1219774, 275695]",POINT (6.044969093315646 62.171823982538676)
6.084103686808975,62.30103778671543,298536,0,0,0,13.109,0,0,"[298536, 1219774, 1220113]",POINT (6.084103686808975 62.30103778671543)
6.235154726998502,62.357027388709916,943350,0,0,0,54.941,0,0,"[943350, 1220113]",POINT (6.235154726998502 62.357027388709916)
6.361322982064911,62.438954908663746,1220613,0,0,0,23.904,0,0,"[1220613, 943535, 1215610, 943685, 943634, 588255]",POINT (6.361322982064911 62.438954908663746)
6.161401121444928,62.47091210763843,1836098,0,0,0,2.528,1,0,"[1836098, 943535, 1215610]",POINT (6.161401121444928 62.47091210763843)
10.372998370636275,61.27861725556772,293531,0,0,0,169.481,0,0,"[293531, 1513686, 233194, 233199, 293532, 1513690]",POINT (10.372998370636275 61.27861725556772)
10.217369621939406,61.42622537227036,261145,0,0,0,192.118,0,0,"[261145, 233194, 142633, 261153, 233199]",POINT (10.217369621939406 61.42622537227036)
