u,v,diff_hour_00_sep,diff_hour_01_sep,diff_hour_02_sep,diff_hour_03_sep,diff_hour_04_sep,diff_hour_05_sep,diff_hour_06_sep,diff_hour_07_sep,diff_hour_08_sep,diff_hour_09_sep,diff_hour_10_sep,diff_hour_11_sep,diff_hour_12_sep,diff_hour_13_sep,diff_hour_14_sep,diff_hour_15_sep,diff_hour_16_sep,diff_hour_17_sep,diff_hour_18_sep,diff_hour_19_sep,diff_hour_20_sep,diff_hour_21_sep,diff_hour_22_sep,diff_hour_23_sep
1499351,1499032,49.63883980598108,50.45380387842074,50.83982828072593,50.950975937775986,50.73805151362344,49.10282534168722,42.94654581300017,37.926371739500226,38.69521293504955,39.044642535742625,36.65735947662766,34.00408505050615,32.67905090746504,31.800386378002166,29.992868924404313,27.346547378377146,29.470655919752613,32.86365332617096,35.41701150127692,38.07124152606764,40.70429560187041,43.340360437815455,45.804941219568086,48.11044457058843
1499351,1543821,58.85438445215147,59.1231181247839,59.250409325544034,59.28706016586162,59.21684852778981,58.67763416285027,56.64760650464522,54.99220860227248,55.245733297579065,55.36095739529865,54.57375294569801,53.69883808117049,53.26190925980926,52.972170418552686,52.37614315786809,51.503520999321495,52.20394388751699,53.32278174196318,54.16474931224902,55.03997928458144,55.90822650670996,56.77746652429757,57.590159828674786,58.35039749281052
1499351,1512898,57.88693539694493,58.25206266954334,58.42501267057614,58.47481000796415,58.37941376058398,57.64678554735091,54.88859579435491,52.639413861783254,52.98387676301503,53.14043124361229,52.070859980567946,50.88211695811208,50.2884636682191,49.89479676433788,49.0849771166686,47.89934918386073,48.85101071673504,50.37117084505867,51.51514852207747,52.70431968013783,53.88400340585592,55.065036038447786,56.16923889765595,57.202170506536035
1499032,1512898,0.8632862339501006,1.7775649245365353,2.210631727122643,2.3353242599422357,2.0964520565022844,0.2619510105666736,-6.644556130935291,-12.276507690094721,-11.413972585410361,-11.021960165994827,-13.700166608657858,-16.67677913688736,-18.163286974779368,-19.14902890209793,-21.176817299861828,-24.145629643612736,-21.762669165295456,-17.956188203973074,-15.091668100718008,-12.113983520934873,-9.160055471736777,-6.2027497597267445,-3.437825800269492,-0.8513650516337727
1499032,1543821,19.144995789673004,20.57045266189722,21.245649465929233,21.44005827109205,21.06763132131986,18.207450776857947,7.439477981161593,-1.341328283598159,0.0034548828106828466,0.6146435750623773,-3.560962635862726,-8.201815395530453,-10.51943783927262,-12.05631343202488,-15.217849336525788,-19.84654078620771,-16.131254161866394,-10.196549020890927,-5.730460169809547,-1.0879359687419097,3.5175492964615103,8.128300694100156,12.439108656448845,16.471673657516675
1512898,1514307,83.1407883391136,83.34233859358793,83.43780699415802,83.46529512439622,83.41263639584236,83.0082256221377,81.48570487848392,80.24415645170436,80.4342999731843,80.52071804647399,79.93031470927352,79.27412856087787,78.94643194485695,78.72912781391452,78.28210736840107,77.62764074949112,78.15295791563774,78.99208630647239,79.62356198418676,80.27998446343608,80.93116988003247,81.58309989322318,82.19261987150608,82.7627981196079
735703,1363127,137.93007090167814,138.20756762885293,138.33900962963784,138.37685560605274,138.3043544580438,137.74755701598667,135.65133280370972,133.94195453495527,134.2037463398914,134.32272774514533,133.50985358523164,132.60640888816516,132.1552323878465,131.8560455408968,131.24058260866812,130.33950537973413,131.06276814471863,132.21808984224458,133.08751287677887,133.99128295690474,134.8878425884505,135.7854273892203,136.62462156221852,137.40964958496738
735703,492484,83.77595220451806,84.00087060443869,84.10740780507489,84.1380829649059,84.07931887651972,83.62801989716814,81.92897500932261,80.54347893885848,80.75566808601725,80.85210564606516,80.19324974802984,79.46098404619703,79.09529361962296,78.85279480683214,78.35394590386785,77.6235990972582,78.20982260150878,79.14624124055614,79.85093148959972,80.58346092296489,81.31014609800724,82.03766219968382,82.71785116095606,83.35413703202619
1363127,1451397,124.58485398631672,125.45531740419133,125.8676302066535,125.98634705898654,125.75892240523221,124.01233674488456,117.43681237374211,112.07476264649128,112.89596220302784,113.2691880847717,110.71933019367398,107.88536682813918,106.47009738503434,105.53159548618153,103.60098544613794,100.77444845432397,103.04320954869634,106.66727129461988,109.3945140766327,112.22949811744859,115.04186411956051,117.85744591565953,120.48986553201179,122.9523744875819
1363127,487219,49.61124894741825,49.9676131654743,50.136412366482304,50.18501456777301,50.09190783032996,49.37686269421448,46.68486949529039,44.489667929100456,44.825863720702664,44.978660893765586,43.934759341034315,42.77454615111738,42.19514054018184,41.81092164199377,41.020537665868545,39.863364803448064,40.7921864595334,42.275862744777264,43.392384957547605,44.55301600781452,45.70438732411537,46.85707517352503,47.934777164112205,48.942918414379164
487219,1451397,46.12524369294322,46.87302434722478,47.22722594933994,47.32921089631059,47.133839381676,45.63341680097467,39.98464418683888,35.37831958893212,36.083779610654794,36.404403186917975,34.21392124020317,31.779375530213542,30.563573592512732,29.757343773364006,28.0988331349373,25.670667128546782,27.619669947873376,30.73295789068018,33.07582417321467,35.511246704922286,37.927238975192935,40.34599380674108,42.60740126239941,44.72284519738581
487219,46132,6.030070901678146,6.307567628852942,6.439009629637863,6.476855606052755,6.404354458043824,5.84755701598669,3.751332803709736,2.041954534955276,2.3037463398914237,2.4227277451453393,1.6098535852316411,0.7064088881651776,0.2552323878465179,-0.04395445910320461,-0.659417391331865,-1.560494620265847,-0.8372318552813685,0.3180898422445937,1.1875128767788787,2.0912829569047506,2.9878425884504987,3.885427389220317,4.724621562218525,5.509649584967385
46132,347040,27.011514702409645,27.58403426584396,27.85521986746338,27.933302092487786,27.78372077659568,26.634959738246224,22.310118205548505,18.78340093527615,19.323518764407567,19.56899618998407,17.89190844953054,16.027959390319733,15.09711103176755,14.479841326481807,13.210044118936361,11.35097952029362,12.843184803840543,15.226795885052002,17.020552882617473,18.885173258456113,20.73491734038208,22.586776508286125,24.318166591524534,25.937803354248498
46132,33684,3.2381754185025864,3.5127511274965952,3.6428095282732538,3.680257125989042,3.6085191479591527,3.0575827316078827,0.9834240373548968,-0.7079607759389903,-0.4489246742126962,-0.33119570480355875,-1.1355132946129025,-2.0294480474997183,-2.4758753214992346,-2.7719128332179075,-3.380897208265213,-4.272489413736732,-3.556839941015248,-2.4136795245158753,-1.5534083113977406,-0.6591516005363518,0.22797056120365156,1.1161071009127346,1.9464676510372771,2.723232220915097
347040,15122,20.921966384853704,21.20238413020929,21.33520973100247,21.373454086116467,21.300189768128494,20.737531300365497,18.619241570064574,16.89186984584954,17.156417353995543,17.27665119509424,16.455220465076184,15.542265823830075,15.08634009719227,14.784003915011498,14.162062425601484,13.251500173205038,13.982376230452513,15.149859209005063,16.028434064955498,16.941717514345854,17.847714615697345,18.7547476775279,19.60277547339977,20.396066949019673
347040,190652,21.124579305464717,21.33197159630062,21.430207196887245,21.458492084523638,21.4043070160117,20.988174190895315,19.421522411193592,18.14398707349289,18.339642001392537,18.42856494637178,17.821048468962594,17.145842432207658,16.80864736354845,16.58504456214392,16.125067002267762,15.451630336432892,15.992174087105504,16.855625039993328,17.505404360540005,18.180853578318285,18.85091393452616,19.521740469838342,20.14892769386858,20.735632847712466
1337200,1263345,14.516740543631672,14.943209198026622,15.145214799232923,15.203378089302126,15.091955272362084,14.236245519305857,11.014679887806537,8.387635390562842,8.789968059201552,8.97282369253915,7.723564457303359,6.335112607074901,5.641725564479907,5.181922620746651,4.23605327226892,2.8512398467493263,3.962780517146525,5.738327547028529,7.074493473786484,8.46344538640098,9.84131597803971,11.220762092907009,12.51047103246215,13.716935151634083
1263345,597464,74.1003986324871,74.42463165055449,74.57821125147161,74.62243128707216,74.53771941939857,73.88714556604761,71.43787306538717,69.44059950926354,69.74648256555734,69.88550294432771,68.93572366274434,67.88011985880352,67.35295573737857,67.00337952673205,66.28425967960172,65.23142207526833,66.07649751646072,67.4263997104121,68.4422518876048,69.4982358759624,70.54579502440006,71.59455200214164,72.57508414111848,73.49232740980399
1263345,1617560,23.819486341738386,24.281007214302786,24.499616015608233,24.562559850066684,24.441978993378147,23.515936931851545,20.029585084064614,17.186619121294036,17.622020228451,17.819905091925932,16.467967015437885,14.965395835053663,14.215018076628944,13.71742311012309,12.693811075469107,11.195177368399959,12.398077545953091,14.319559948154165,15.765547731905922,17.268660075694214,18.759780305001883,20.252605552598,21.648317966637123,22.953943520261543
