u,v,diff_hour_00_apr,diff_hour_01_apr,diff_hour_02_apr,diff_hour_03_apr,diff_hour_04_apr,diff_hour_05_apr,diff_hour_06_apr,diff_hour_07_apr,diff_hour_08_apr,diff_hour_09_apr,diff_hour_10_apr,diff_hour_11_apr,diff_hour_12_apr,diff_hour_13_apr,diff_hour_14_apr,diff_hour_15_apr,diff_hour_16_apr,diff_hour_17_apr,diff_hour_18_apr,diff_hour_19_apr,diff_hour_20_apr,diff_hour_21_apr,diff_hour_22_apr,diff_hour_23_apr
1499351,1499032,50.87139075077454,51.78274842318019,52.21443162575803,52.33872577987852,52.100616746417614,50.271976726187866,43.38753510270987,37.77357699901101,38.63335640048552,39.02411638405627,36.3544665114976,33.38736392744774,31.90560531587488,30.92301272378737,28.901702883204823,25.94237556291638,28.317722748970663,32.11204242926645,34.96741071110537,37.93558192162402,40.88007250101637,43.82792995196567,46.58402028854926,49.162217584313936
1499351,1543821,60.057130250258176,60.36091614106006,60.50481054191934,60.54624192662617,60.46687224880587,59.857325575395954,57.562511700903286,55.69119233300367,55.97778546682851,56.10803879468542,55.218155503832534,54.22912130914925,53.735201771958295,53.40767090792912,52.73390096106827,51.747458520972124,52.53924091632355,53.80401414308882,54.75580357036846,55.74519397387467,56.72669083367212,57.709309983988554,58.62800676284975,59.48740586143798
1499351,1512898,60.289681195051635,60.6898606858195,60.87941388695143,60.9339917687287,60.82943748160003,60.026476959896584,57.00350099061298,54.53839759251444,54.915928932264464,55.08751264299906,53.915262538702464,52.612400186090824,51.96175618036813,51.530297253714316,50.64273491986877,49.343286705511346,50.3863077455416,52.0524032461843,53.3062027801969,54.60953436943105,55.90246773281808,57.19687949813876,58.40708583183092,59.539178875163486
1499032,1512898,0.5634191114457998,1.5857754747213653,2.0700354776131795,2.209468022299624,1.9423585296351422,-0.10900046741745761,-7.831931775806234,-14.129641187006877,-13.165145063557913,-12.72679251788559,-15.721592054409745,-19.05007251728619,-20.712301728986514,-21.814569059853913,-24.082064073327924,-27.40182228518996,-24.737169993141883,-20.480721633835707,-17.27758413818308,-13.947904895614075,-10.644790463603425,-7.3378990923462,-4.246131086563331,-1.353922581699107
1499032,1543821,19.88303833067989,21.474993239208988,22.229055243711954,22.446171634723704,22.030243996146154,18.835984986449965,6.8102776633874385,-2.996155562624992,-1.4942973132544601,-0.8117197778504135,-5.475050484723742,-10.657970062631343,-13.246298406564705,-14.962686107486803,-18.493499771324906,-23.662837558367222,-19.513593275035213,-12.885695115544166,-7.897952443742213,-2.713166194599058,2.4302548495318135,7.579557127632349,12.393881593779962,16.89746340849711
1512898,1514307,86.99216123816697,87.21123760172601,87.31500760234569,87.3448860047785,87.2876482563504,86.84807132841055,85.19315747661295,83.84364831706996,84.05032605780903,84.14425874616738,83.50251598834078,82.78927017486726,82.43307820093148,82.19687805860275,81.71098627000117,80.99960951031645,81.57060643004104,82.48270250703521,83.16908911324649,83.88259180808271,84.59040204351356,85.29902162306868,85.96154333859359,86.58130230392163
735703,1363127,143.2652347670826,143.5660996397037,143.70861044055474,143.74964344656246,143.6710369387212,143.06735129101713,140.79460293454844,138.9412770221094,139.22511445272437,139.35411534473653,138.47278862398798,137.49326437348435,137.00409406261252,136.6797125338144,136.01242114413492,135.03546372750122,135.81963283058968,137.07224477632835,138.01488238219184,138.99475941643357,139.96681880642527,140.93998969568096,141.8498528516685,142.70098849738568
735703,492484,85.41922058674699,85.66458611393313,85.78080851462715,85.81427232535191,85.75016604711243,85.2578398878198,83.4043363738065,81.89288611511834,82.1243651847461,82.22956979570745,81.51081790694165,80.71198259585131,80.31304758504324,80.04850342563506,79.50430462240129,78.7075626515544,79.34707920164594,80.36862680787942,81.13737980683605,81.93650282505261,82.72925028873517,83.52290421783691,84.2649285392248,84.95905858039221
1363127,1451397,140.59845009935458,141.53609693538732,141.98023253803953,142.10811210045196,141.8631345371797,139.98174528559716,132.89871399990344,127.12281479705942,128.00739552742263,128.40942743359636,125.66276843009851,122.61007634843183,121.08557469998667,120.07463809081972,117.99502123560498,114.95032870415437,117.39419552057561,121.2979667301107,124.23570140469496,127.28949293859397,130.318920746238,133.35181254673392,136.1874054891805,138.83997386078454
1363127,487219,51.5220992623494,51.91059468039411,52.094613481493,52.14759784847385,52.046096241261345,51.26657982238136,48.331865925193625,45.93873634893738,46.30524487584799,46.47181884320347,45.33379501932429,44.06897244343124,43.43732534298512,43.01846375725551,42.156815652135386,40.89530753162781,41.90787540260608,43.52532577914243,44.742518027490426,46.007796139666645,47.262979623830695,48.51959834490844,49.69447018710593,50.793509418954336
