,u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,vol_jan,vol_feb,vol_mar,vol_apr,vol_may,vol_jun,vol_jul,vol_aug,vol_sep,vol_oct,vol_nov,vol_dec,range,actual_range_jan,actual_range_feb,actual_range_mar,actual_range_apr,actual_range_may,actual_range_jun,actual_range_jul,actual_range_aug,actual_range_sep,actual_range_oct,actual_range_nov,actual_range_dec,charge_prob_jan,charge_prob_feb,charge_prob_mar,charge_prob_apr,charge_prob_may,charge_prob_jun,charge_prob_jul,charge_prob_aug,charge_prob_sep,charge_prob_oct,charge_prob_nov,charge_prob_dec,charge_cars_jan,charge_cars_feb,charge_cars_mar,charge_cars_apr,charge_cars_may,charge_cars_jun,charge_cars_jul,charge_cars_aug,charge_cars_sep,charge_cars_oct,charge_cars_nov,charge_cars_dec,new_id
1714,825817,564227,16195.373370975229,68960V578600,7632,Melkevegen 1,243891,"LINESTRING (11.36720781854637 63.7458549805268, 11.426125872977213 63.88878716991126)",3,[22.0],1,7632,8034,8166,9134,9424,10534,10581,10577,9392,9115,8735,7727,300,240,240,240,270,300,315,330,330,306,276,245,240,0.06748072237906345,0.06748072237906345,0.06748072237906345,0.05998286433694529,0.053984577903250765,0.051413883717381675,0.04907688900295524,0.04907688900295524,0.0529260567678929,0.05867888902527257,0.06583485110152533,0.06748072237906345,257,271,275,273,254,270,259,259,248,267,287,260,825817_564227
1715,564227,672830,17332.100235213067,68960V578600,7632,Steinkjer kommune lading,216722,"LINESTRING (11.426125872977213 63.88878716991126, 11.487835587281484 64.0418807398558)",3,"[22.0, 22.0, 22.0, 22.0]",4,7632,8034,8166,9134,9424,10534,10581,10577,9392,9115,8735,7727,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07221708431338777,0.07221708431338777,0.07221708431338777,0.06419296383412247,0.05777366745071023,0.05502254042924783,0.05252151586428202,0.05252151586428202,0.05664085044187277,0.0627974646203372,0.07045569201306126,0.07221708431338777,275,290,294,293,272,289,277,277,265,286,307,279,564227_672830
1716,564227,672830,17332.100235213067,25585V578602,7902,Steinkjer kommune lading,216722,"LINESTRING (11.426125872977213 63.88878716991126, 11.487835587281484 64.0418807398558)",3,"[22.0, 22.0, 22.0, 22.0]",4,7902,8588,8759,9454,10144,11472,11693,11477,10182,9717,9213,8322,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07221708431338777,0.07221708431338777,0.07221708431338777,0.06419296383412247,0.05777366745071023,0.05502254042924783,0.05252151586428202,0.05252151586428202,0.05664085044187277,0.0627974646203372,0.07045569201306126,0.07221708431338777,285,310,316,303,293,315,307,301,288,305,324,300,564227_672830
1717,672830,579630,17566.403962752698,25585V578602,7902,Steinkjer kommune lading,216722,"LINESTRING (11.487835587281484 64.0418807398558, 11.757480417685901 64.14636179393227)",3,"[22.0, 22.0, 22.0, 22.0]",4,7902,8588,8759,9454,10144,11472,11693,11477,10182,9717,9213,8322,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07319334984480291,0.07319334984480291,0.07319334984480291,0.06506075541760259,0.05855467987584233,0.055766361786516505,0.05323152715985666,0.05323152715985666,0.057406548897884636,0.06364639116939383,0.07140814619005163,0.07319334984480291,289,314,320,307,296,319,311,305,292,309,328,304,672830_579630
1718,672830,579630,17566.403962752698,31504V578608,1375,Steinkjer kommune lading,216722,"LINESTRING (11.487835587281484 64.0418807398558, 11.757480417685901 64.14636179393227)",3,"[22.0, 22.0, 22.0, 22.0]",4,1375,1629,1777,0,0,0,0,3202,2274,2066,0,1120,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07319334984480291,0.07319334984480291,0.07319334984480291,0.06506075541760259,0.05855467987584233,0.055766361786516505,0.05323152715985666,0.05323152715985666,0.057406548897884636,0.06364639116939383,0.07140814619005163,0.07319334984480291,50,59,65,0,0,0,0,85,65,65,0,40,672830_579630
1719,672830,635829,14390.992390436562,25585V578602,7902,Steinkjer kommune lading,216722,"LINESTRING (11.487835587281484 64.0418807398558, 11.289057730180852 64.13727888651295)",3,"[22.0, 22.0, 22.0, 22.0]",4,7902,8588,8759,9454,10144,11472,11693,11477,10182,9717,9213,8322,300,240,240,240,270,300,315,330,330,306,276,245,240,0.05996246829348568,0.05996246829348568,0.05996246829348568,0.053299971816431715,0.04796997463478854,0.04568569012837004,0.04360906784980777,0.04360906784980777,0.04702938689685151,0.052141276776944065,0.0584999690668153,0.05996246829348568,236,257,262,251,243,262,254,250,239,253,269,249,672830_635829
1720,672830,635829,14390.992390436562,77685V578099,1965,Steinkjer kommune lading,216722,"LINESTRING (11.487835587281484 64.0418807398558, 11.289057730180852 64.13727888651295)",3,"[22.0, 22.0, 22.0, 22.0]",4,1965,2118,2199,2480,2685,2935,2921,2872,2734,2609,2451,2149,300,240,240,240,270,300,315,330,330,306,276,245,240,0.05996246829348568,0.05996246829348568,0.05996246829348568,0.053299971816431715,0.04796997463478854,0.04568569012837004,0.04360906784980777,0.04360906784980777,0.04702938689685151,0.052141276776944065,0.0584999690668153,0.05996246829348568,58,63,65,66,64,67,63,62,64,68,71,64,672830_635829
1721,635829,565071,18244.13459519409,77685V578099,1965,No CS,0,"LINESTRING (11.289057730180852 64.13727888651295, 11.206290382893053 64.29691257405695)",0,No CS,0,1965,2118,2199,2480,2685,2935,2921,2872,2734,2609,2451,2149,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07601722747997537,0.07601722747997537,0.07601722747997537,0.06757086887108922,0.0608137819839803,0.05791788760379076,0.055285256349073,0.055285256349073,0.059621354886255196,0.06610193693910901,0.07416314876095159,0.07601722747997537,74,80,83,83,81,84,80,79,81,86,90,81,635829_565071
1722,635829,565071,18244.13459519409,77685V578099,1965,No CS,0,"LINESTRING (11.289057730180852 64.13727888651295, 11.206290382893053 64.29691257405695)",0,No CS,0,1965,2118,2199,2480,2685,2935,2921,2872,2734,2609,2451,2149,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07601722747997537,0.07601722747997537,0.07601722747997537,0.06757086887108922,0.0608137819839803,0.05791788760379076,0.055285256349073,0.055285256349073,0.059621354886255196,0.06610193693910901,0.07416314876095159,0.07601722747997537,74,80,83,83,81,84,80,79,81,86,90,81,635829_565071
1723,565071,636819,17914.814788974236,77685V578099,1965,No CS,0,"LINESTRING (11.206290382893053 64.29691257405695, 11.474306886000477 64.40796057779471)",0,No CS,0,1965,2118,2199,2480,2685,2935,2921,2872,2734,2609,2451,2149,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07464506162072598,0.07464506162072598,0.07464506162072598,0.06635116588508977,0.05971604929658079,0.05687242790150551,0.05428731754234617,0.05428731754234617,0.058545146369196846,0.0649087492354139,0.07282445036168389,0.07464506162072598,73,79,82,82,80,83,79,77,80,84,89,80,565071_636819
